BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
10,9845,712.3314,593.0584,0.334805,718.9766,1.40,14,14,2232,1786
20,19846,652.0992,671.0375,634.6864,702.0963,1.71,24,24,4192,3096
30,28531,589.1533,578.911,543.6436,594.4389,1.71,34,34,6152,4406
40,36476,538.8718,530.9316,423.5468,560.884,1.86,44,44,8112,5716
50,43782,475.5246,488.158,449.8514,507.4106,2.00,54,54,10072,7026
60,50327,427.3957,438.3029,415.2885,466.9822,2.32,64,64,12032,8336
70,56100,382.2855,386.1829,371.2839,398.2265,2.63,74,74,13992,9646
80,61010,304.2318,328.8381,301.4984,352.1951,3.31,84,84,15952,10956
90,65490,288.3888,299.1109,285.5825,312.6108,3.34,94,94,17912,12266
100,69300,225.8648,255.331,225.8648,277.1339,4.36,104,104,19872,13576
110,72356,224.6741,204.1482,178.5893,231.4439,4.46,114,114,21832,14886
120,75218,179.4456,191.5564,153.1095,206.1052,5.51,124,124,23792,16196
130,77774,156.0962,170.6535,152.1243,189.0998,6.15,134,134,25752,17506
140,80151,156.0054,158.3567,145.4302,169.4852,6.60,144,144,27696,18805
150,82314,142.2042,144.2704,132.7344,151.8085,6.93,154,154,29669,20124
160,84305,134.2086,132.8157,126.4861,137.4166,7.54,163,163,31440,21308
170,86186,124.7639,125.9559,120.5227,129.6241,8.16,172,172,33219,22497
180,87862,110.7546,112.4019,103.3589,119.2503,9.26,176,176,33902,22953
190,89391,103.9786,102.1465,93.2049,107.1675,9.58,188,188,36354,24592
200,90802,97.87519,94.41041,84.14229,101.3687,10.25,202,202,39110,26434
210,92096,87.48685,86.74045,71.37511,94.4819,11.39,208,208,40224,27179
220,93340,81.55708,83.14471,79.09888,84.98774,12.12,207,207,40006,27033
230,94509,79.57693,78.06847,73.44526,79.57693,12.61,219,219,42365,28610
240,95582,70.95277,71.74649,67.10721,74.59258,14.03,234,234,45310,30578
250,96580,66.36879,66.63114,63.90477,67.99446,14.85,247,247,47856,32279
260,97498,60.65398,61.24125,56.22224,62.96992,16.92,227,227,44022,29717
270,98352,58.68469,56.94879,54.23679,58.74094,17.93,221,221,42748,28866
280,99157,53.58262,53.64355,51.94809,55.61964,18.89,245,245,47498,32040
290,99893,50.39062,48.91241,41.15751,50.95336,19.87,255,255,49492,33373
300,100596,47.89055,47.00274,44.48692,49.78503,21.20,271,271,52658,35489
