BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
100,3521,355.6193,307.9787,0.286175,421.4607,3.27,104,104,19674,13180
150,7243,366.3416,368.469,316.1971,396.2953,2.73,155,155,29673,20128
200,10767,322.2822,353.4456,322.2822,363.9908,2.99,205,205,39474,26680
250,14153,337.9183,339.3531,323.5298,346.8466,2.95,255,255,49274,33230
300,17186,302.049,304.9565,281.5699,316.7776,3.31,305,305,59074,39780
350,19939,299.1624,275.9911,246.5408,299.1624,3.40,355,355,68874,46330
400,22565,255.4074,262.6777,254.5265,272.6652,3.80,405,405,78674,52880
450,24956,216.3739,241.0295,216.3739,255.3568,4.62,455,455,88474,59430
500,27248,237.7409,228.513,192.8771,237.7409,4.22,505,505,98274,65980
550,29512,229.0351,226.4671,213.1529,232.1949,4.35,555,555,108074,72530
600,31617,178.7219,210.8074,178.7219,222.151,5.27,605,605,117874,79080
650,33685,212.7663,206.86,196.793,212.7663,4.70,655,655,127674,85630
700,35645,197.9534,196.3832,190.2738,202.3209,5.06,705,705,137474,92180
750,37468,184.176,182.4871,171.9918,187.013,5.40,755,755,147274,98730
800,39186,167.6268,171.9306,164.9999,176.0203,5.96,805,805,157074,105280
850,40846,168.8985,166.1404,159.5969,170.4257,5.92,855,855,166874,111830
900,42458,163.8798,161.1904,155.5587,165.6356,6.11,905,905,176674,118380
950,44023,158.0422,156.4686,150.5014,160.3348,6.27,955,955,186474,124930
1000,45533,150.0937,151.0047,142.7327,155.3796,6.73,1005,1005,196274,131480
1050,46961,141.2075,142.4874,137.103,145.539,6.98,1055,1055,206074,138030
1100,48340,139.3618,138.5598,132.3543,143.7291,7.22,1105,1105,215874,144580
1150,49671,132.501,133.4785,128.2938,136.3352,7.53,1155,1155,225674,151130
1200,50940,123.344,127.4545,119.4269,133.2321,8.01,1205,1205,235474,157680
1250,52200,126.8547,125.9096,121.2883,128.254,7.91,1255,1255,245274,164230
1300,53423,126.0934,122.5382,115.6092,126.0934,8.05,1305,1305,255074,170780
1350,54605,121.9139,118.1685,111.3419,122.3058,8.21,1355,1355,264874,177330
1400,55739,108.4894,113.7154,107.9394,116.8239,8.83,1405,1405,274674,183880
1450,56844,110.6178,110.7771,101.5525,114.2222,9.02,1455,1455,284474,190430
1500,57904,99.26543,106.28,99.26543,108.7192,9.53,1505,1505,294274,196980
1550,58952,104.5368,104.9118,99.45329,106.79,9.47,1555,1555,304074,203530
1600,59953,95.28264,100.1383,95.28264,101.8075,10.02,1605,1605,313874,210080
1650,60953,98.74603,100.2523,93.92965,102.6464,10.10,1655,1655,323674,216630
1700,61889,98.86756,93.69296,75.13018,99.21722,10.18,1705,1705,333474,223180
1750,62827,95.87194,93.75576,90.41384,95.87194,10.54,1755,1755,343274,229730
1800,63741,89.14334,91.58559,88.67258,93.65273,10.96,1805,1805,353074,236280
1850,64608,90.58981,86.62016,78.2384,91.04411,11.33,1855,1855,362874,242830
1900,65506,92.76588,89.72219,87.30341,94.60188,11.05,1905,1905,372674,249380
1950,66333,86.70135,82.83054,73.10705,88.46672,11.44,1955,1955,382474,255930
2000,67199,85.78823,86.52792,77.94734,91.58527,11.71,2005,2005,392274,262480
2050,68053,86.20053,85.45787,82.95669,87.43974,11.76,2055,2055,402074,269030
2100,68886,85.28498,83.24125,76.71456,85.84299,11.67,2105,2105,411874,275580
2150,69693,79.24313,80.44624,78.40947,83.03307,12.40,2155,2155,421674,282130
2200,70492,77.19534,80.11411,74.44618,82.58912,12.54,2205,2205,431474,288680
2250,71255,78.93544,76.53532,73.31973,78.93544,13.05,2255,2255,441274,295230
2300,72030,78.99158,77.30904,67.91736,79.39776,12.66,2305,2305,451074,301780
2350,72792,78.13,76.27238,70.64376,78.24889,12.85,2355,2355,460874,308330
2400,73527,69.78609,73.65617,68.85464,75.81546,13.55,2405,2405,470674,314880
2450,74253,74.59774,72.58305,67.46346,74.59774,13.79,2455,2455,480474,321430
2500,74965,72.24474,71.32834,66.57307,73.40311,13.75,2505,2505,490274,327980
2550,75660,71.87727,69.47135,62.97862,71.87727,14.08,2555,2555,500074,334530
2600,76339,66.57927,67.85286,65.04959,70.30364,14.75,2605,2605,509874,341080
2650,77014,67.97905,67.49289,64.98883,68.88791,14.93,2655,2655,519674,347630
2700,77677,66.88486,66.33124,64.50381,67.56512,14.99,2705,2705,529474,354180
2750,78328,65.85137,65.10072,63.22361,66.5463,15.10,2755,2755,539274,360730
2800,78947,61.46623,61.89642,56.27484,64.76059,16.08,2805,2805,549074,367280
2850,79559,61.88993,61.16765,57.22843,62.90275,16.43,2855,2855,558874,373830
2900,80162,61.70814,60.13242,57.1182,61.70814,16.35,2905,2905,568645,380360
2950,80757,60.71949,59.51094,55.88055,60.896,16.56,2953,2953,578070,386660
3000,81339,54.99751,58.25404,53.91281,60.09413,17.01,3005,3005,588274,393480
3050,81910,57.68487,57.13892,52.97226,58.75895,17.73,3054,3054,597948,399946
3100,82471,56.09232,56.30455,52.65853,58.21196,17.91,3105,3105,607874,406580
3150,83017,56.42601,54.43669,51.15407,56.42601,17.99,3154,3154,617451,412981
3200,83559,52.93055,54.24978,51.43477,56.12599,18.29,3205,3205,627394,419627
3250,84094,53.57734,53.519,50.84549,55.01864,18.83,3251,3251,636451,425680
3300,84623,53.75866,52.79969,50.02508,54.18322,18.85,3303,3303,646735,432553
3350,85129,52.09167,50.59133,48.98513,52.09167,19.68,3325,3325,651037,435429
3400,85633,51.25629,50.37284,46.38136,52.15536,19.59,3404,3404,666509,445770
3450,86131,50.15475,49.61932,46.62604,50.58103,20.20,3448,3448,675045,451475
3500,86618,49.64969,48.78446,44.55348,50.45787,20.43,3502,3502,685761,458637
3550,87104,49.5385,48.54118,44.48778,50.23227,20.41,3539,3539,693035,463499
3600,87576,44.20494,47.17356,43.88219,48.76228,21.00,3602,3602,705332,471718
3650,88034,47.33575,45.83989,42.4981,47.7312,21.95,3607,3607,706168,472277
3700,88482,46.66066,44.79582,41.42749,46.66066,22.63,3697,3697,723856,484098
3750,88923,45.53185,44.12545,42.17805,45.99054,22.29,3657,3657,716099,478914
3800,89352,42.23075,42.97725,39.518,44.76905,23.05,3749,3749,734089,490938
