BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
100,4727,533.8383,403.2372,0.3119528,539.937,1.88,6,6,19867,13567
200,9683,490.8797,498.6523,445.4948,515.4248,2.11,6,6,39474,26680
300,13891,434.9814,426.1812,399.3577,445.0217,2.57,6,6,59074,39780
400,17758,353.9684,385.6505,353.9684,404.0871,2.56,6,6,78674,52880
500,21338,341.8912,359.4324,341.8912,372.551,2.77,6,6,98274,65980
600,24708,317.1851,337.8958,317.1851,347.118,3.18,7,7,117874,79080
700,27859,323.7251,316.7009,299.7993,327.1533,3.19,7,7,137474,92180
800,30688,277.7982,283.5075,255.6349,296.1848,3.45,7,7,157074,105280
900,33343,273.971,266.3779,251.8125,274.1117,3.66,7,7,176674,118380
1000,35812,255.2131,247.4562,234.972,258.5845,3.90,7,7,196274,131480
1100,38153,231.4381,235.1263,216.1564,241.414,4.32,8,8,215874,144580
1200,40297,214.7426,214.8689,198.8533,224.8695,4.62,8,8,235474,157680
1300,42355,203.8244,206.2665,195.3688,211.7985,4.89,8,8,255074,170780
1400,44286,199.8671,193.3397,180.3693,199.8671,5.01,8,8,274674,183880
1500,46110,172.4882,183.005,172.4882,187.8364,5.64,8,8,294274,196980
1600,47829,172.8065,171.9241,162.9737,176.8996,5.87,9,9,313874,210080
1700,49488,168.5636,166.1318,147.5672,170.5513,5.95,9,9,333474,223180
1800,51058,160.987,157.1019,147.6317,160.987,6.22,9,9,353074,236280
1900,52562,150.4745,150.5874,141.9061,153.3408,6.60,9,9,372674,249380
2000,53979,144.5045,141.6917,133.9314,146.5091,7.13,9,9,392274,262480
2100,55364,140.818,138.4828,128.53,141.771,7.07,10,10,411874,275580
2200,56696,130.9781,133.2404,125.7102,137.4199,7.59,10,10,431474,288680
2300,57959,128.7526,125.9621,117.7195,130.0284,7.75,10,10,451074,301780
2400,59139,104.5055,118.9762,104.5055,128.6322,9.10,10,10,470674,314880
2500,60319,120.9009,117.8776,111.3918,120.9009,8.31,10,10,490274,327980
2600,61387,111.9754,107.5844,75.90688,118.6173,8.97,11,11,509874,341080
2700,62450,105.4897,106.6008,99.63335,109.2591,9.38,11,11,529474,354180
2800,63492,101.4198,104.2571,97.52599,107.1494,9.60,11,11,549074,367280
2900,64503,104.7628,101.6048,93.86012,108.7523,9.55,11,11,568674,380380
