BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
10,5299,570.9404,458.7108,0.3015166,570.9404,1.73,15,15,2228,1778
30,10262,492.2405,499.0511,446.4637,545.1988,1.97,35,35,6154,4410
50,14187,361.0482,399.5105,357.836,458.9414,2.84,55,55,10074,7030
70,17182,258.6174,301.9506,258.6174,359.0179,3.64,75,75,13994,9650
90,19521,198.282,236.2827,198.282,274.9752,4.88,95,95,17914,12270
110,21545,198.1638,203.6567,159.4072,231.3232,5.08,115,115,21834,14890
130,23471,185.6832,193.0863,149.6784,222.0731,5.32,135,135,25754,17510
150,25053,123.0524,160.1338,123.0524,181.7178,7.70,155,155,29674,20130
170,26437,129.668,137.0945,112.5536,159.2453,7.41,175,175,33594,22750
190,27864,146.4384,142.7575,129.1793,153.4245,7.22,195,195,37514,25370
210,29133,133.0277,127.2589,101.4757,139.2962,7.63,215,215,41434,27990
230,30050,101.7805,91.93576,72.14816,110.9612,9.69,235,235,45354,30610
250,30939,102.1964,89.1994,61.38923,110.4521,10.15,255,255,49274,33230
270,31740,78.95643,80.20641,54.69335,100.9065,14.01,275,275,53194,35850
290,32452,50.06944,72.0343,50.06944,84.42076,15.89,295,295,57114,38470
310,33210,61.83702,76.01812,61.83702,86.37331,14.09,315,315,61034,41090
330,33981,86.14492,74.88925,50.87951,92.76781,11.44,335,335,64954,43710
350,34692,82.68871,71.18214,55.32248,82.68871,12.35,355,355,68874,46330
370,35377,50.70995,71.14178,50.70995,82.26627,16.18,375,375,72794,48950
390,36011,71.35616,61.63458,47.98738,71.35616,15.00,395,395,76714,51570
410,36598,55.17595,59.64072,45.70308,72.48739,17.02,415,415,80634,54190
430,37182,44.85596,59.19159,44.85596,69.23773,17.08,435,435,84554,56810
450,37674,57.0528,48.37611,38.86617,57.0528,19.68,455,455,88474,59430
470,38123,44.5023,45.34318,31.36757,55.00148,23.92,475,475,92394,62050
490,38548,46.27412,42.40926,32.70572,46.39428,24.11,495,495,96314,64670
510,38904,41.49978,35.73415,24.43891,41.58074,28.78,163,163,30672,21835
