BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
10,5041,543.7169,432.8522,0.3188765,552.6465,1.82,19,19,2387,2095
30,9967,487.5866,496.1618,463.4109,515.4015,2.09,39,39,6424,4950
50,13794,382.1436,385.0756,337.0891,423.0595,2.36,59,59,10459,7801
70,17064,319.1452,331.8009,276.1805,401.2687,3.00,79,79,14513,10688
90,20461,380.0965,338.3105,266.9748,382.6152,2.79,99,99,18730,13903
110,23104,242.1368,268.7415,205.2738,318.9763,4.04,119,119,22611,16444
130,25473,257.0772,236.729,151.5014,275.5338,3.81,139,139,26861,19724
150,27695,198.581,224.5208,193.676,263.0507,5.00,159,159,30712,22206
170,29391,180.6921,175.6377,147.7431,224.2193,6.21,175,175,33594,22750
190,31282,201.054,183.1447,113.5953,215.3925,5.15,195,195,37514,25370
210,33119,185.132,184.0872,164.7674,203.1455,5.64,215,215,41434,27990
230,34791,170.0291,167.5035,151.3983,186.1299,6.11,235,235,45354,30610
250,36085,158.3886,129.589,101.389,160.3145,7.43,255,255,49274,33230
270,37486,136.8144,140.8647,124.1804,163.4157,7.60,275,275,53194,35850
290,38473,121.9704,99.24847,74.87871,126.4392,8.69,295,295,57114,38470
310,39735,133.6766,126.4527,105.6408,142.6681,7.63,315,315,61034,41090
330,40901,103.2287,116.0969,100.5888,132.7377,8.45,335,335,64954,43710
350,42061,115.5827,115.9292,95.62892,139.096,9.14,355,355,68874,46330
370,43089,82.15067,102.85,82.15067,119.0274,10.43,375,375,72794,48950
390,43974,100.0695,87.82309,62.36804,102.9795,10.76,395,395,76714,51570
410,44919,99.63484,94.70131,76.88263,108.1562,9.95,415,415,80634,54190
430,45538,48.42482,63.80791,48.42482,87.92922,17.06,435,435,84554,56810
450,46313,71.53653,77.68847,69.12283,89.2863,13.95,455,455,88474,59430
470,46816,57.17919,50.92792,32.51704,61.85188,18.89,475,475,92394,62050
490,47414,51.57384,60.63908,51.57384,72.18192,16.31,495,495,96314,64670
510,47900,55.71646,48.43938,32.07522,58.64325,17.91,515,515,100234,67290
530,48325,22.82393,43.2005,22.82393,57.1592,24.60,535,535,104154,69910
550,48842,53.21134,50.77032,29.47112,62.2802,17.47,555,555,108074,72530
570,49278,44.30661,43.82647,33.44258,55.20108,24.72,575,575,111994,75150
590,49821,49.40887,54.12651,45.78138,61.76617,18.34,595,595,115914,77770
610,50247,51.62394,41.19313,30.23121,51.62394,23.34,615,615,119834,80390
630,50780,49.45609,53.98579,46.12505,65.27541,20.17,315,315,61464,41228
